date,Volume,Open,High,Low,Close,ATR,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot,Worth,CC
2020-11-21 07:00:00,74378.03,6.709,6.746999999999999,6.697,6.719,0.049999999999998934,False,False,False,False,False,-1.0,0.0,0.0,6.719,6.719,-0.00833457359726153
2020-11-21 08:00:00,102476.59,6.719,6.823999999999999,6.642,6.663,0.11599999999999877,False,False,False,False,True,-1.0,0.0,0.0,6.719,6.719,-0.00833457359726153
2020-11-21 09:00:00,184298.9,6.641,6.727,6.634,6.667,0.1083333333333325,False,False,False,False,False,-1.0,0.0,0.0,6.719,6.719,0.000600330181599773
2020-11-21 10:00:00,158195.13,6.666999999999999,6.783999999999999,6.658,6.713,0.11274999999999902,False,False,False,False,False,-1.0,0.0,0.0,6.719,6.719,0.006899655017249096
2020-11-21 11:00:00,213845.53,6.713,6.738,6.583,6.587,0.12119999999999927,False,False,False,False,False,-1.0,0.0,0.0,6.719,6.719,-0.018769551616267033
2020-11-21 12:00:00,162680.36,6.587,6.723,6.571,6.722,0.12633333333333274,False,False,False,False,False,-1.0,0.0,0.0,6.719,6.719,0.020494914224988614
2020-11-21 13:00:00,251628.24,6.722,6.732,6.412,6.417,0.15399999999999953,False,False,False,False,True,-1.0,0.0,0.0,6.719,6.719,-0.04537340077357943
2020-11-21 14:00:00,231810.86,6.417,6.489,6.223,6.323,0.1679999999999996,False,False,False,False,False,-1.0,0.0,0.0,6.719,6.719,-0.01464858968365268
2020-11-21 15:00:00,151924.05,6.323,6.443,6.319,6.388,0.1631111111111107,False,False,False,False,False,-1.0,0.0,0.0,6.719,6.719,0.010279930412778748
2020-11-21 16:00:00,201118.68,6.408,6.605,6.33,6.33,0.17429999999999968,False,False,False,False,False,-1.0,0.0,0.0,6.719,6.719,-0.009079524107701964
2020-11-21 17:00:00,80592.68,6.333,6.35,6.215000000000001,6.332,0.17072727272727234,False,False,False,False,False,-1.0,0.0,0.0,6.719,6.719,0.00031595576619269927
