date,Volume,Open,High,Low,Close,ATR,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot,Worth,CC
2020-11-21 18:00:00,2272462.93,296.27,301.21,293.87,301.13,7.594999999999994,False,False,False,False,False,1.0,301.13,6.0,267.17,299.20594258332716,0.016403955851081786
2020-11-21 19:00:00,3179806.16,301.13,303.02,297.83,298.38,7.409999999999995,False,False,False,False,False,2.0,298.38,1.0,267.17,296.47351359218,-0.009132268455484316
2020-11-21 20:00:00,3707055.21,297.95,298.26,293.97,297.52,7.195714285714279,False,False,False,False,False,2.0,297.52,1.0,267.17,295.61900852585757,-0.0028822307125142554
2020-11-21 21:00:00,1752576.6,298.51,303.56,295.16,301.66,7.275999999999992,False,False,False,False,False,1.0,301.66,6.0,267.17,299.7325561707119,0.013915030922291072
2020-11-21 22:00:00,1328803.98,301.66,302.48,296.92,301.99,7.168749999999992,False,False,False,False,False,1.0,301.99,6.0,267.17,300.0604476496496,0.0010939468275541486
2020-11-21 23:00:00,6236192.81,300.52,303.94,297.21,303.75,7.142941176470582,True,False,False,False,False,1.0,303.75,6.0,303.75,301.8092022039837,0.005828007549918857
2020-11-22 00:00:00,12324474.31,303.75,308.3,297.35,298.47,7.354444444444438,False,False,False,True,False,2.0,298.47,1.0,303.75,295.79187490077464,-0.017382716049382574
2020-11-22 01:00:00,12186964.12,298.47,300.17,287.43,291.68,7.6378947368420995,False,False,False,False,False,2.0,291.68,1.0,303.75,295.79187490077464,-0.02274935504405806
2020-11-22 02:00:00,8365624.92,291.68,298.68,293.48,296.64,7.6059999999999945,False,False,False,False,False,1.0,296.64,6.0,303.75,295.79187490077464,0.017004936917169422
2020-11-22 03:00:00,5132225.89,296.64,297.64,294.12,297.46,7.401699999999994,False,False,False,False,False,1.0,297.46,6.0,303.75,295.79187490077464,0.002764293419633246
2020-11-22 04:00:00,3859210.4,297.46,297.77,293.87,294.61,7.226614999999993,False,False,False,False,False,2.0,294.61,1.0,303.75,295.79187490077464,-0.009581120150608413
2020-11-22 05:00:00,6480646.36,294.61,293.59,287.11,288.41,7.240284249999993,False,False,False,False,False,2.0,288.41,1.0,303.75,295.79187490077464,-0.02104477105325686
2020-11-22 06:00:00,3506154.29,288.41,288.93,285.79,288.56,7.035270037499993,False,False,False,False,False,2.0,288.41,1.0,303.75,295.79187490077464,0.0005200929232689333
2020-11-22 07:00:00,6040104.17,288.56,292.79,286.14,292.05,7.016006535624995,False,False,False,False,False,1.0,292.05,6.0,303.75,295.79187490077464,0.012094538397560362
2020-11-22 08:00:00,5330985.65,292.05,287.8,283.8,285.25,7.077706208843745,False,False,False,False,False,2.0,285.25,1.0,303.75,295.79187490077464,-0.023283684300633545
2020-11-22 09:00:00,5876472.6,285.25,294.85,287.32,293.93,7.203820898401559,False,False,False,False,False,1.0,293.93,6.0,303.75,295.79187490077464,0.030429447852760694
2020-11-22 10:00:00,5718577.77,293.93,290.96,286.78,290.05,7.201129853481483,False,False,False,False,False,2.0,290.05,1.0,303.75,295.79187490077464,-0.01320042186915249
2020-11-22 11:00:00,9613813.12,290.05,285.73,277.14,278.93,7.48657336080741,False,False,False,False,False,2.0,278.93,1.0,303.75,295.79187490077464,-0.03833821754869848
2020-11-22 12:00:00,2313676.53,279.1,283.97,278.13,281.81,7.4042446927670404,False,False,False,False,False,1.0,281.81,6.0,303.75,295.79187490077464,0.01032517118990417
2020-11-22 13:00:00,4253421.46,281.36,283.78,281.6,281.96,7.143032458128686,False,False,False,False,False,1.0,281.96,6.0,303.75,295.79187490077464,0.0005322735176180871
2020-11-22 14:00:00,5218462.25,281.96,282.03,277.48,280.39,7.013380835222249,False,False,False,False,False,1.0,281.96,3.0,303.75,295.79187490077464,-0.00556816569726204
2020-11-22 15:00:00,2661357.37,280.39,282.5,279.75,281.77,6.800211793461137,False,False,False,False,False,1.0,281.96,6.0,303.75,295.79187490077464,0.004921716181033542
