date,Volume,Open,High,Low,Close,ATR,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot,Worth,CC
2020-11-21 21:00:00,21812409.74,540.94,544.2,539.17,543.83,7.06133333333335,False,False,False,False,False,1.0,543.83,6.0,509.68,538.2392296359818,0.005008131283264383
2020-11-21 22:00:00,16339372.42,543.68,543.68,535.53,542.31,7.1387500000000195,False,False,False,False,False,1.0,543.83,3.0,509.68,536.7348557892894,-0.002794991081772058
2020-11-21 23:00:00,27122917.65,542.31,553.11,539.62,552.26,7.5123529411764896,False,False,False,False,False,1.0,552.26,6.0,509.68,546.5825661673084,0.01834743965628527
2020-11-22 00:00:00,42110232.22,552.26,561.25,543.95,550.34,8.056111111111127,False,False,False,False,False,1.0,552.26,3.0,509.68,544.6823044662234,-0.0034766233295910887
2020-11-22 01:00:00,48159870.02,550.34,554.07,536.78,541.65,8.542105263157913,False,False,False,False,False,2.0,541.65,1.0,509.68,536.0816408295415,-0.015790238761492992
2020-11-22 02:00:00,13614080.01,541.65,550.39,541.15,548.38,8.577000000000018,False,False,False,False,False,1.0,548.38,6.0,509.68,542.742453979699,0.012424997692236817
2020-11-22 03:00:00,20574386.13,548.86,551.47,546.08,549.61,8.417650000000016,False,False,False,False,False,1.0,549.61,6.0,509.68,543.9598091319566,0.0022429702031439014
2020-11-22 04:00:00,13289464.45,549.61,550.37,547.21,547.4,8.154767500000014,False,False,False,False,False,1.0,549.61,2.0,509.68,541.7725287364368,-0.004021033096195503
2020-11-22 05:00:00,14951053.95,547.4,547.01,542.38,543.68,7.998029125000013,False,False,False,False,False,2.0,543.68,1.0,509.68,538.0907716905845,-0.006795761782974141
2020-11-22 06:00:00,19390946.85,543.68,543.49,540.35,543.49,7.764627668750008,False,False,False,False,False,2.0,543.49,1.0,509.68,537.9027249597481,-0.0003494702766332347
2020-11-22 07:00:00,15876585.64,543.42,543.42,533.91,542.04,7.855396285312509,False,False,False,False,False,2.0,542.04,1.0,509.68,536.4676314875744,-0.0026679423724448315
2020-11-22 08:00:00,20463466.92,542.31,536.08,532.26,535.72,7.9516264710468825,False,False,False,False,False,2.0,535.72,1.0,509.68,530.2126033881694,-0.01165965611393982
2020-11-22 09:00:00,31740755.67,535.72,545.06,539.92,543.96,8.021045147494535,False,False,False,False,False,1.0,543.96,6.0,509.68,538.3678931886595,0.015381169267527861
2020-11-22 10:00:00,34464526.25,543.96,539.39,537.39,538.12,7.948492890119811,False,False,False,False,False,2.0,538.12,1.0,509.68,532.5879305145257,-0.010736083535554108
2020-11-22 11:00:00,43001699.61,538.21,539.08,513.33,522.87,8.83856824561382,False,False,False,False,False,2.0,522.87,1.0,509.68,517.4947060658034,-0.028339403850442313
2020-11-22 12:00:00,22477760.69,522.87,529.97,520.23,526.92,8.88363983333313,False,False,False,False,False,1.0,526.92,6.0,509.68,521.5030705915295,0.007745711171036618
2020-11-22 13:00:00,35408474.58,527.23,533.53,528.61,532.8,8.769957841666473,False,False,False,False,False,1.0,532.8,6.0,509.68,527.3226220511025,0.01115918925074011
2020-11-22 14:00:00,10593514.99,533.09,535.03,529.46,530.11,8.609959949583146,False,False,False,False,False,1.0,532.8,2.0,509.68,524.6602762303115,-0.005048798798798715
2020-11-22 15:00:00,19842551.77,530.39,534.61,531.86,534.42,8.40446195210399,False,False,False,False,False,1.0,534.42,6.0,509.68,528.925967861393,0.008130388032672409
2020-11-22 16:00:00,32336454.41,534.78,555.23,532.82,553.18,9.10473885449879,False,False,False,False,False,1.0,553.18,6.0,509.68,547.4931082324116,0.03510347666629232
2020-11-22 17:00:00,16933828.21,553.18,554.74,549.12,553.23,8.93050191177385,False,False,False,False,False,1.0,553.23,6.0,509.68,547.5425942142108,9.038649264270227e-05
2020-11-22 18:00:00,41807024.32,553.23,567.83,552.67,562.78,9.241976816185161,False,False,False,False,False,1.0,562.78,6.0,509.68,556.9944167378369,0.01726225981960483
2020-11-22 19:00:00,37182787.85,562.78,574.67,562.72,573.15,9.3773779753759,False,False,False,False,False,1.0,573.15,6.0,509.68,567.2578093629681,0.018426383311418215
