Date,Volume,Open,High,Low,Close,ATR,CC,ODR,Top,Btm,Buy,Sell,Trend,WM,Band,last_pivot
2015-09-19,386988,0.849602997303009,0.9118829965591431,0.8337839841842651,0.8823909759521484,0.19278968965412632,0.0336259320851211,False,False,False,False,False,2.0,0.8536850214004517,1.0,0.7018970251083374
2015-09-20,508314,0.8811910152435303,0.9477409720420837,0.8732050061225891,0.938444972038269,0.18687700346739475,0.06352512391192033,False,False,False,False,False,2.0,0.8536850214004517,1.0,0.7018970251083374
2015-09-21,424039,0.9414960145950317,0.9573259949684143,0.8783010244369507,0.9190469980239868,0.1814844018205982,-0.020670337198515187,False,False,False,False,False,2.0,0.8536850214004517,1.0,0.7018970251083374
2015-09-22,487914,0.9193369746208191,0.9193369746208191,0.8652250170707703,0.9017959833145142,0.17511577960707073,-0.018770546823572154,False,False,False,False,False,2.0,0.8536850214004517,1.0,0.7018970251083374
2015-09-23,200541,0.9035599827766418,0.9089099764823914,0.8851360082626343,0.8934059739112854,0.16754868903770503,-0.009303666858652027,False,False,False,False,False,2.0,0.8536850214004517,1.0,0.7018970251083374
2015-09-24,842505,0.8967959880828857,0.9085710048675537,0.7934600114822388,0.8136100172996521,0.16492680425508552,-0.08931656933330179,False,False,False,False,False,2.0,0.8136100172996521,1.0,0.7018970251083374
2015-09-25,903457,0.8200309872627258,0.8256649971008301,0.7127450108528137,0.7362229824066162,0.16232646335473205,-0.09511563678859458,False,False,False,False,False,2.0,0.7362229824066162,1.0,0.7018970251083374
2015-09-26,369620,0.7376300096511841,0.7875440120697021,0.7093279957771301,0.7859640121459961,0.15812094100162405,0.06756245176805398,False,False,False,False,False,2.0,0.7362229824066162,1.0,0.7018970251083374
2015-09-27,413801,0.7912769913673401,0.7912769913673401,0.719169020652771,0.7208390235900879,0.1538202924872713,-0.08286001337146587,False,False,False,False,False,2.0,0.7208390235900879,1.0,0.7018970251083374
2015-09-28,1320890,0.7237150073051453,0.7256770133972168,0.5570619702339172,0.5828859806060791,0.15456003002107271,-0.1913784332831252,False,False,True,False,False,2.0,0.5828859806060791,1.0,0.5828859806060791
2015-09-29,913992,0.5794140100479126,0.6758300065994263,0.5583459734916687,0.6611459851264954,0.15270623017540697,0.13426297273275,False,False,False,False,False,2.0,0.5828859806060791,1.0,0.5828859806060791
2015-09-30,619926,0.661191999912262,0.7467219829559326,0.6358609795570374,0.738644003868103,0.15061396883658137,0.1172177105889558,False,False,False,False,False,2.0,0.5828859806060791,1.0,0.5828859806060791
2015-10-01,596084,0.7343069911003113,0.7343069911003113,0.6559060215950012,0.690214991569519,0.14722016950840738,-0.06556475385296945,False,False,False,False,False,2.0,0.5828859806060791,1.0,0.5828859806060791
2015-10-02,219318,0.6837319731712341,0.6911200284957886,0.654604971408844,0.6785740256309509,0.14168491388733423,-0.0168657100769386,False,False,False,False,False,2.0,0.5828859806060791,1.0,0.5828859806060791
2015-10-03,163326,0.6787829995155334,0.7092040181159973,0.6754819750785828,0.6871709823608398,0.13628677034483824,0.0126691509034631,False,False,False,False,False,2.0,0.5828859806060791,1.0,0.5828859806060791
2015-10-04,103497,0.6863430142402649,0.6931260228157043,0.6607159972190857,0.668379008769989,0.13109293310742726,-0.027346867189137147,False,False,False,False,False,2.0,0.5828859806060791,1.0,0.5828859806060791
2015-10-05,234263,0.6667839884757996,0.6744379997253418,0.6244500279426575,0.6286429762840271,0.12703768504119012,-0.05945134716167666,False,False,False,False,False,2.0,0.5828859806060791,1.0,0.5828859806060791
2015-10-06,262674,0.6222180128097534,0.6539440155029297,0.6062300205230713,0.6506450176239014,0.12307150053812353,0.03499926376324214,False,False,False,False,False,2.0,0.5828859806060791,1.0,0.5828859806060791
2015-10-07,218327,0.6505150198936462,0.6563010215759277,0.6024230122566223,0.609387993812561,0.11961182597718263,-0.06340942094970214,False,False,False,False,False,2.0,0.5828859806060791,1.0,0.5828859806060791
2015-10-08,310266,0.6095010042190552,0.6331380009651184,0.5919709801673889,0.6217160224914551,0.11568958571820998,0.02023017979360775,False,False,False,False,False,2.0,0.5828859806060791,1.0,0.5828859806060791
2015-10-09,386420,0.6550840139389038,0.692296028137207,0.6321160197257996,0.6506279706954956,0.11343410671458708,0.04650346325027832,False,False,False,False,False,2.0,0.5828859806060791,1.0,0.5828859806060791
2015-10-10,141555,0.6411870121955872,0.6490219831466675,0.6243739724159241,0.6278570294380188,0.1090751012928363,-0.034998405053406456,False,False,False,False,False,2.0,0.5828859806060791,1.0,0.5828859806060791
2015-10-11,102128,0.6274610161781311,0.6395059823989868,0.6183350086212158,0.6349629759788513,0.10467989491708304,0.011317778104981802,False,False,False,False,False,2.0,0.5828859806060791,1.0,0.5828859806060791
2015-10-12,109567,0.6345149874687195,0.6577889919281006,0.6260300278663635,0.6260300278663635,0.10103384837431574,-0.01406845509175847,False,False,False,False,False,2.0,0.5828859806060791,1.0,0.5828859806060791
2015-10-13,303044,0.6279429793357849,0.6302400231361389,0.5992140173912048,0.6076549887657166,0.09753345624284666,-0.0293516896677829,False,False,False,False,False,2.0,0.5828859806060791,1.0,0.5828859806060791
