Date,Volume,Open,High,Low,Close,ATR,CC,ODR,Top,Btm,Buy,Sell,Trend,WM,Band,last_pivot
2014-09-17,291633,1.8411999940872192,1.898069977760315,1.64792001247406,1.7683500051498413,0.2501499652862549,-0.11257385485164317,False,True,False,False,False,-1.0,0.0,0.0,1.7683500051498413
2014-09-18,253082,1.7418099641799927,1.7418099641799927,1.5047600269317627,1.5692800283432007,0.25686997175216675,-0.11257385485164317,False,False,False,False,False,1.0,1.7683500051498413,6.0,1.7683500051498413
2014-09-19,171739,1.5677499771118164,1.59089994430542,1.3760199546813965,1.4543700218200684,0.24287331104278564,-0.073224666374204,False,False,False,False,False,1.0,1.7683500051498413,6.0,1.7683500051498413
2014-09-20,362626,1.4425899982452393,1.567370057106018,1.1744600534439087,1.271209955215454,0.2803824841976166,-0.12593773514074424,False,False,False,False,False,1.0,1.7683500051498413,5.0,1.7683500051498413
2014-09-21,239591,1.2676700353622437,1.4141700267791748,1.1749500036239624,1.274150013923645,0.27214999198913575,0.0023128034013017995,False,False,False,False,False,1.0,1.7683500051498413,5.0,1.7683500051498413
2014-09-22,137822,1.2747000455856323,1.3356599807739258,1.214229941368103,1.2612899541854858,0.2470299998919169,-0.010093049953009525,False,False,False,False,True,1.0,1.7683500051498413,5.0,1.7683500051498413
2014-09-23,205229,1.260349988937378,1.4994299411773682,1.225659966468811,1.4655300378799438,0.2508499962942941,0.16192952541697836,False,False,False,False,False,1.0,1.7683500051498413,6.0,1.7683500051498413
2014-09-24,122748,1.4634499549865723,1.558940052986145,1.4486000537872314,1.5053399801254272,0.23328624665737152,0.027164193988867602,False,False,False,False,False,1.0,1.7683500051498413,6.0,1.7683500051498413
2014-09-25,126179,1.498129963874817,1.5147099494934082,1.392549991607666,1.3967000246047974,0.2209388812383016,-0.07216971378889292,False,False,False,False,False,1.0,1.7683500051498413,5.0,1.7683500051498413
2014-09-26,81632,1.3977099657058716,1.4622000455856323,1.3197400569915771,1.386240005493164,0.21309099197387696,-0.007489094957661369,False,False,False,False,False,1.0,1.7683500051498413,5.0,1.7683500051498413
2014-09-27,95657,1.3837100267410278,1.3873800039291382,1.2798199653625488,1.3061100244522095,0.2034972689368508,-0.057803829584652466,False,False,False,False,False,1.0,1.7683500051498413,5.0,1.7683500051498413
2014-09-28,84412,1.305590033531189,1.3699599504470825,1.2077399492263794,1.219689965248108,0.20005749662717184,-0.06616598723399791,False,False,False,False,False,1.0,1.7683500051498413,4.0,1.7683500051498413
2014-09-29,83902,1.2209500074386597,1.2274199724197388,1.1424599885940552,1.1490000486373901,0.19120384179628813,-0.057957283100495194,False,False,False,False,False,1.0,1.7683500051498413,4.0,1.7683500051498413
2014-09-30,82093,1.1638699769973755,1.2453199625015259,1.1422100067138672,1.2195700407028198,0.18491142136710031,0.0614186153857168,False,False,False,False,False,1.0,1.7683500051498413,4.0,1.7683500051498413
2014-10-01,65139,1.208490014076233,1.2181999683380127,1.1713199615478516,1.1995799541473389,0.17580066521962484,-0.01639109349058865,False,False,False,False,False,1.0,1.7683500051498413,4.0,1.7683500051498413
2014-10-02,61823,1.2157599925994873,1.224850058555603,1.1786999702453613,1.1891900300979614,0.1676975041627884,-0.00866130182774072,False,False,False,False,False,1.0,1.7683500051498413,4.0,1.7683500051498413
2014-10-03,113844,1.18464994430542,1.18464994430542,1.0660500526428223,1.100950002670288,0.1650764731799855,-0.07420178877584804,False,False,False,False,False,1.0,1.7683500051498413,3.0,1.7683500051498413
2014-10-04,65893,1.092519998550415,1.1272399425506592,0.9664090275764465,0.9776279926300049,0.16484060883522034,-0.11201417842878703,False,False,False,False,False,1.0,1.7683500051498413,3.0,1.7683500051498413
2014-10-05,86073,0.9771170020103455,1.005579948425293,0.7867680191993713,0.8795030117034912,0.16768120464525724,-0.10037046981698927,False,False,True,False,False,1.0,1.7683500051498413,3.0,0.8795030117034912
